billing_period_start,billing_period_end,usage_start,usage_end,line_item_id,invoice_id,line_item_type,cost_category,payer_account_id,linked_account_id,resource_id,service,sku,usage_type,operation,region,availability_zone,quantity,unit,currency,public_ondemand_unit_price,list_cost,ondemand_cost_equivalent,unblended_cost,amortized_cost,effective_cost,net_cost,credit_amount,tax_amount,support_fee_amount,marketplace_fee_amount,tag_application,tag_environment,tag_owner,tag_cost_center,is_late_adjustment
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000001,AWS-2026-06-0001,usage,EC2Compute,777700000001,111111111111,ec2compute-111111-BoxUsage,Amazon Elastic Compute Cloud,SKU-EC2-xlarge,BoxUsage:m5.xlarge,RunInstances,us-east-1,us-east-1a,784,Hrs,USD,1.920000,1505.280000,1505.280000,978.430000,978.430000,978.430000,978.430000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000002,AWS-2026-06-0001,savings_plan_recurring,Commitment,777700000001,111111111111,ec2compute-111111-BoxUsage,Savings Plans,SP-RECURRING,SavingsPlanRecurring,RunInstances,us-east-1,us-east-1a,0,Hrs,USD,1.920000,1505.280000,1505.280000,526.850000,-526.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000003,AWS-2026-06-0001,usage,EC2Compute,777700000001,111111111111,ec2compute-111111-BoxUsage,Amazon Elastic Compute Cloud,SKU-EC2-xlarge,BoxUsage:c5.2xlarge,RunInstances,us-east-1,us-east-1a,320,Hrs,USD,3.400000,1088.000000,1088.000000,707.200000,707.200000,707.200000,707.200000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000004,AWS-2026-06-0001,savings_plan_recurring,Commitment,777700000001,111111111111,ec2compute-111111-BoxUsage,Savings Plans,SP-RECURRING,SavingsPlanRecurring,RunInstances,us-east-1,us-east-1a,0,Hrs,USD,3.400000,1088.000000,1088.000000,380.800000,-380.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000005,AWS-2026-06-0001,usage,Storage,777700000001,111111111111,storage-111111-TimedStorage-ByteHrs,Amazon Simple Storage Service,SKU-STO-yteHrs,TimedStorage-ByteHrs,Put,us-east-1,us-east-1a,16350,GB-Mo,USD,0.230000,3760.500000,3760.500000,3760.500000,3760.500000,3760.500000,3760.500000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000006,AWS-2026-06-0001,usage,RDSDatabase,777700000001,111111111111,rdsdatabase-111111-InstanceUsage,Amazon Relational Database Service,SKU-RDS-.large,InstanceUsage:db.r5.large,Put,us-east-1,us-east-1a,720,Hrs,USD,2.620000,1886.400000,1886.400000,1226.160000,1226.160000,1226.160000,1226.160000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000007,AWS-2026-06-0001,savings_plan_recurring,Commitment,777700000001,111111111111,rdsdatabase-111111-InstanceUsage,Savings Plans,SP-RECURRING,SavingsPlanRecurring,Put,us-east-1,us-east-1a,0,Hrs,USD,2.620000,1886.400000,1886.400000,660.240000,-660.240000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000008,AWS-2026-06-0001,usage,Network,777700000001,111111111111,network-111111-Requests-Tier1,Amazon CloudFront,SKU-NET--Tier1,Requests-Tier1,Put,us-east-1,us-east-1a,837000,Requests,USD,0.010000,8370.000000,8370.000000,8370.000000,8370.000000,8370.000000,8370.000000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000009,AWS-2026-06-0001,usage,Network,777700000001,111111111111,network-111111-Bytes Transfer-To-Internet,Amazon CloudFront,SKU-NET-ternet,Bytes Transfer-To-Internet,Put,us-east-1,us-east-1a,1944,GB,USD,1.200000,2332.800000,2332.800000,2332.800000,2332.800000,2332.800000,2332.800000,0.000000,0.000000,0.000000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000010,AWS-2026-06-0001,usage,Marketplace,777700000001,111111111111,marketplace-111111-Software(Redis-Labs),AWS Marketplace,SKU-MAR--Labs),Software(Redis-Labs),Put,us-east-1,us-east-1a,712,Hrs,USD,2.500000,1780.000000,1780.000000,1780.000000,1780.000000,1780.000000,1780.000000,0.000000,0.000000,0.000000,1780.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000011,AWS-2026-06-0001,support,Support,777700000001,111111111111,support-111111111111,AWS Support (Business),SUPPORT-BIZ,Support,Support,us-east-1,us-east-1a,1,Monthly,USD,0.000000,1915.500000,1915.500000,1915.500000,1915.500000,1915.500000,1915.500000,0.000000,0.000000,1915.500000,0.000000,payments-api,prod,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000012,AWS-2026-06-0001,usage,EC2Compute,777700000001,222222222222,ec2compute-222222-BoxUsage,Amazon Elastic Compute Cloud,SKU-EC2-xlarge,BoxUsage:m5.xlarge,RunInstances,us-east-1,us-east-1a,748,Hrs,USD,1.920000,1436.160000,1436.160000,933.500000,933.500000,933.500000,933.500000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000013,AWS-2026-06-0001,savings_plan_recurring,Commitment,777700000001,222222222222,ec2compute-222222-BoxUsage,Savings Plans,SP-RECURRING,SavingsPlanRecurring,RunInstances,us-east-1,us-east-1a,0,Hrs,USD,1.920000,1436.160000,1436.160000,502.660000,-502.660000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000014,AWS-2026-06-0001,usage,EC2Compute,777700000001,222222222222,ec2compute-222222-BoxUsage,Amazon Elastic Compute Cloud,SKU-EC2-xlarge,BoxUsage:c5.2xlarge,RunInstances,us-east-1,us-east-1a,342,Hrs,USD,3.400000,1162.800000,1162.800000,755.820000,755.820000,755.820000,755.820000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000015,AWS-2026-06-0001,savings_plan_recurring,Commitment,777700000001,222222222222,ec2compute-222222-BoxUsage,Savings Plans,SP-RECURRING,SavingsPlanRecurring,RunInstances,us-east-1,us-east-1a,0,Hrs,USD,3.400000,1162.800000,1162.800000,406.980000,-406.980000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000016,AWS-2026-06-0001,usage,Storage,777700000001,222222222222,storage-222222-TimedStorage-ByteHrs,Amazon Simple Storage Service,SKU-STO-yteHrs,TimedStorage-ByteHrs,Put,us-east-1,us-east-1a,16800,GB-Mo,USD,0.230000,3864.000000,3864.000000,3864.000000,3864.000000,3864.000000,3864.000000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,777700000001-2026-06-000017,AWS-2026-06-0001,usage,RDSDatabase,777700000001,222222222222,rdsdatabase-222222-InstanceUsage,Amazon Relational Database Service,SKU-RDS-.large,InstanceUsage:db.r5.large,Put,us-east-1,us-east-1a,763,Hrs,USD,2.620000,1999.060000,1999.060000,1299.380000,1299.380000,1299.380000,1299.380000,0.000000,0.000000,0.000000,0.000000,payments-api,dev,Priya Kumar,CC-1001,false
